kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K11178,xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],1.17.1.4,Oxidoreductases,Acting on CH or CH(2) groups,With NAD(+) or NADP(+) as acceptor,"CO or xanthine dehydrogenase, FAD-binding subunit",COG1319,C,Energy production and conversion
K11179,tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-],2.8.1.-,Transferases,Transferring sulfur-containing groups,Sulfurtransferases,"Sulfur relay (sulfurtransferase) protein, DsrC/TusE family",COG2920,P,Inorganic ion transport and metabolism
K11181,dissimilatory sulfite reductase beta subunit [EC:1.8.99.5],1.8.99.5,Oxidoreductases,Acting on a sulfur group of donors,With other acceptors,"Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits",COG2221,P,Inorganic ion transport and metabolism
K11183,phosphocarrier protein FPr,NA,NA,NA,NA,"Phosphotransferase system, HPr and related phosphotransfer proteins",COG1925,T,Signal Transduction
K11184,catabolite repression HPr-like protein,NA,NA,NA,NA,"Phosphotransferase system, HPr and related phosphotransfer proteins",COG1925,T,Signal Transduction
K11189,phosphocarrier protein,NA,NA,NA,NA,"Phosphotransferase system, HPr and related phosphotransfer proteins",COG1925,T,Signal Transduction
K11191,"PTS system, N-acetylmuramic acid-specific IIB component [EC:2.7.1.192]",2.7.1.192,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,NA,NA,NA,NA
K11192,"PTS system, N-acetylmuramic acid-specific IIC component",NA,NA,NA,NA,NA,NA,NA,NA
K11198,"PTS system, 2-O-A-mannosyl-D-glycerate-specific IIA component [EC:2.7.1.195]",2.7.1.195,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),COG1762,G,Carbohydrate metabolism and transport
K11199,"PTS system, 2-O-A-mannosyl-D-glycerate-specific IIB component [EC:2.7.1.195]",2.7.1.195,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Phosphotransferase system fructose-specific component IIB,COG1445,G,Carbohydrate metabolism and transport
K11200,"PTS system, 2-O-A-mannosyl-D-glycerate-specific IIC component",NA,NA,NA,NA,"Phosphotransferase system, fructose-specific IIC component",COG1299,G,Carbohydrate metabolism and transport
K11201,"PTS system, fructose-specific IIA-like component [EC:2.7.1.-]",2.7.1.-,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),COG1762,G,Carbohydrate metabolism and transport
K11202,"PTS system, fructose-specific IIB-like component [EC:2.7.1.-]",2.7.1.-,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Phosphotransferase system fructose-specific component IIB,COG1445,G,Carbohydrate metabolism and transport
K11203,"PTS system, fructose-specific IIC-like component",NA,NA,NA,NA,"Phosphotransferase system, fructose-specific IIC component",COG1299,G,Carbohydrate metabolism and transport
K11208,GST-like protein,NA,NA,NA,NA,Glutathione S-transferase,COG0625,O,"Post-translational modification, protein turnover, chaperone functions"
K11209,GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-],1.8.4.-,Oxidoreductases,Acting on a sulfur group of donors,With a disulfide as acceptor,Glutathione S-transferase,COG0625,O,"Post-translational modification, protein turnover, chaperone functions"
K11211,3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166],2.7.1.166,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Serine/threonine protein kinase,COG0515,T,Signal Transduction
K11212,LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28],2.7.8.28,Transferases,Transferring phosphorus-containing groups,Transferases for other substituted phosphate groups,"Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family",COG0391,H,Coenzyme metabolis
K11216,autoinducer-2 kinase [EC:2.7.1.189],2.7.1.189,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Sugar (pentulose or hexulose) kinase,COG1070,G,Carbohydrate metabolism and transport
K11249,cysteine/O-acetylserine efflux protein,NA,NA,NA,NA,Threonine/homoserine/homoserine lactone efflux protein,COG1280,E,Amino Acid metabolis and transport
K11250,leucine efflux protein,NA,NA,NA,NA,Threonine/homoserine/homoserine lactone efflux protein,COG1280,E,Amino Acid metabolis and transport
K11258,acetolactate synthase II small subunit [EC:2.2.1.6],2.2.1.6,Transferases,Transferring aldehyde or ketonic groups,Transketolases and transaldolases,"Acetolactate synthase small subunit, contains ACT domain",COG3978,C,Energy production and conversion
K11261,formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12],1.2.7.12,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor,Formylmethanofuran dehydrogenase subunit E,COG2191,C,Energy production and conversion
K11263,"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",6.4.1.2,Ligases,Forming carbon-carbon bonds,Forming carbon-carbon bonds,"Acetyl/propionyl-CoA carboxylase, alpha subunit",COG4770,I,Lipid metabolism
K11264,methylmalonyl-CoA decarboxylase [EC:4.1.1.-],4.1.1.-,Lyases,Carbon-carbon lyases,Carboxy-lyases,Enoyl-CoA hydratase/carnithine racemase,COG1024,I,Lipid metabolism
K11311,"anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]",1.18.1.-,Oxidoreductases,Acting on iron-sulfur proteins as donors,With NAD(+) or NADP(+) as acceptor,NAD(P)H-flavin reductase,COG0543,H,Coenzyme metabolis
K11312,cupin 2 domain-containing protein,NA,NA,NA,NA,NA,NA,NA,NA
K11325,L-cysteine/cystine lyase,NA,NA,NA,NA,Selenocysteine lyase/Cysteine desulfurase,COG0520,E,Amino Acid metabolis and transport
K11334,"3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]",1.3.7.14,Oxidoreductases,Acting on the CH-CH group of donors,With an iron-sulfur protein as acceptor,NA,NA,NA,NA
K11358,aspartate aminotransferase [EC:2.6.1.1],2.6.1.1,Transferases,Transferring nitrogenous groups,Transaminases,Aspartate/methionine/tyrosine aminotransferase,COG0436,E,Amino Acid metabolis and transport
K11381,2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],1.2.4.4,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,NA,NA,NA,NA
K11382,"MFS transporter, OPA family, phosphoglycerate transporter protein",NA,NA,NA,NA,Sugar phosphate permease,COG2271,G,Carbohydrate metabolism and transport
K11383,"two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]",2.7.13.3,Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases,Signal transduction histidine kinase,COG0642,T,Signal Transduction
K11384,"two-component system, NtrC family, response regulator AlgB",NA,NA,NA,NA,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains",COG2204,T,Signal Transduction
K11387,arabinosyltransferase C [EC:2.4.2.-],2.4.2.-,Transferases,Glycosyltransferases,Pentosyltransferases,NA,NA,NA,NA
K11391,23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174],2.1.1.174,Transferases,Transferring one-carbon groups,Methyltransferases,16S rRNA G1207 methylase RsmC,COG2813,J,Tranlsation
K11392,16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178],2.1.1.178,Transferases,Transferring one-carbon groups,Methyltransferases,"16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family",COG0144,J,Tranlsation
K11395,2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55],4.1.2.55,Lyases,Carbon-carbon lyases,Aldehyde-lyases,Dihydrodipicolinate synthase/N-acetylneuraminate lyase,COG0329,E,Amino Acid metabolis and transport
K11440,choline dehydrogenase [EC:1.1.1.1],1.1.1.1,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Alcohol dehydrogenase, class IV",COG1454,C,Energy production and conversion
K11442,putative uridylyltransferase [EC:2.7.7.-],2.7.7.-,Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases,UDP-N-acetylglucosamine pyrophosphorylase,COG4284,G,Carbohydrate metabolism and transport
K11472,glycolate oxidase FAD binding subunit,NA,NA,NA,NA,FAD/FMN-containing dehydrogenase,COG0277,C,Energy production and conversion
K11473,glycolate oxidase iron-sulfur subunit,NA,NA,NA,NA,Fe-S oxidoreductase,COG0247,C,Energy production and conversion
K11474,"GntR family transcriptional regulator, glc operon transcriptional activator",NA,NA,NA,NA,"DNA-binding transcriptional regulator, FadR family",COG2186,K,Transcription
K11475,"GntR family transcriptional regulator, vanillate catabolism transcriptional regulator",NA,NA,NA,NA,"DNA-binding transcriptional regulator, GntR family",COG1802,K,Transcription
K11476,"GntR family transcriptional regulator, gluconate operon transcriptional repressor",NA,NA,NA,NA,"DNA-binding transcriptional regulator, GntR family",COG1802,K,Transcription
K11477,glc operon protein GlcG,NA,NA,NA,NA,"Uncharacterized conserved protein GlcG, DUF336 family",COG3193,S,Function Unknown
K11527,"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",2.7.13.3,Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases,NA,NA,NA,NA
K11530,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]",5.3.1.32,Isomerases,Intramolecular oxidoreductases,Interconverting aldoses and ketoses,Quinol monooxygenase YgiN,COG1359,C,Energy production and conversion
K11531,lsr operon transcriptional repressor,NA,NA,NA,NA,"DNA-binding transcriptional regulator LsrR, DeoR family",COG2390,K,Transcription
K11533,"fatty acid synthase, bacteria type [EC:2.3.1.-]",2.3.1.-,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,NA,NA,NA,NA
K11534,"DeoR family transcriptional regulator, deoxyribose operon repressor",NA,NA,NA,NA,"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family",COG1349,K,Transcription
K11535,nucleoside transport protein,NA,NA,NA,NA,Nucleoside permease NupC,COG1972,F,Nucleotide metabolism and transport
K11537,"MFS transporter, NHS family, xanthosine permease",NA,NA,NA,NA,MFS family permease,COG0477,G,Carbohydrate metabolism and transport
K11604,manganese/iron transport system substrate-binding protein,NA,NA,NA,NA,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA",COG0803,P,Inorganic ion transport and metabolism
K11605,manganese/iron transport system permease protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, permease component",COG1108,P,Inorganic ion transport and metabolism
K11606,manganese/iron transport system permease protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, permease component",COG1108,P,Inorganic ion transport and metabolism
K11607,manganese/iron transport system ATP-binding protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, ATPase component",COG1121,P,Inorganic ion transport and metabolism
K11614,"two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]",2.7.13.3,Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases,Sensor histidine kinase regulating citrate/malate metabolism,COG3290,T,Signal Transduction
K11615,"two-component system, CitB family, response regulator MalR",NA,NA,NA,NA,Response regulator of citrate/malate metabolism,COG4565,K,Transcription
K11617,"two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]",2.7.13.3,Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases,Signal transduction histidine kinase,COG4585,T,Signal Transduction
K11618,"two-component system, NarL family, response regulator LiaR",NA,NA,NA,NA,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains",COG2197,T,Signal Transduction
K11626,putative sodium/glutamine symporter,NA,NA,NA,NA,Na+/alanine symporter,COG1115,E,Amino Acid metabolis and transport
K11633,"two-component system, OmpR family, sensor histidine kinase YxdK [EC:2.7.13.3]",2.7.13.3,Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases,Signal transduction histidine kinase,COG0642,T,Signal Transduction
K11635,putative ABC transport system ATP-binding protein,NA,NA,NA,NA,"ABC-type lipoprotein export system, ATPase component",COG1136,M,Cell wall/membrane/envelop biogenesis
K11645,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",4.1.2.13,Lyases,Carbon-carbon lyases,Aldehyde-lyases,"Fructose-bisphosphate aldolase class Ia, DhnA family",COG1830,G,Carbohydrate metabolism and transport
K11685,DNA-binding protein StpA,NA,NA,NA,NA,DNA-binding protein H-NS,COG2916,K,Transcription
K11688,C4-dicarboxylate-binding protein DctP,NA,NA,NA,NA,"TRAP-type C4-dicarboxylate transport system, periplasmic component",COG1638,G,Carbohydrate metabolism and transport
K11689,"C4-dicarboxylate transporter, DctQ subunit",NA,NA,NA,NA,"TRAP-type C4-dicarboxylate transport system, small permease component",COG3090,G,Carbohydrate metabolism and transport
K11690,"C4-dicarboxylate transporter, DctM subunit",NA,NA,NA,NA,"TRAP-type C4-dicarboxylate transport system, large permease component",COG1593,G,Carbohydrate metabolism and transport
K11693,peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16],2.3.2.16,Transferases,Acyltransferases,Aminoacyltransferases,Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme),COG2348,M,Cell wall/membrane/envelop biogenesis
K11694,peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17],2.3.2.17,Transferases,Acyltransferases,Aminoacyltransferases,Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme),COG2348,M,Cell wall/membrane/envelop biogenesis
K11695,peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine) [EC:2.3.2.18],2.3.2.18,Transferases,Acyltransferases,Aminoacyltransferases,Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme),COG2348,M,Cell wall/membrane/envelop biogenesis
K11704,iron/zinc/manganese/copper transport system substrate-binding protein,NA,NA,NA,NA,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA",COG0803,P,Inorganic ion transport and metabolism
K11705,iron/zinc/manganese/copper transport system permease protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, permease component",COG1108,P,Inorganic ion transport and metabolism
K11706,iron/zinc/manganese/copper transport system ATP-binding protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, ATPase component",COG1121,P,Inorganic ion transport and metabolism
K11707,manganese/zinc/iron transport system substrate-binding protein,NA,NA,NA,NA,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA",COG0803,P,Inorganic ion transport and metabolism
K11708,manganese/zinc/iron transport system permease protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, permease component",COG1108,P,Inorganic ion transport and metabolism
K11709,manganese/zinc/iron transport system permease protein,NA,NA,NA,NA,"ABC-type Mn2+/Zn2+ transport system, permease component",COG1108,P,Inorganic ion transport and metabolism
K11710,manganese/zinc/iron transport system ATP- binding protein [EC:7.2.2.5],7.2.2.5,Translocases,Catalysing the translocation of inorganic cations,Linked to the hydrolysis of a nucleoside triphosphate,"ABC-type Mn2+/Zn2+ transport system, ATPase component",COG1121,P,Inorganic ion transport and metabolism
K11711,"two-component system, LuxR family, sensor histidine kinase DctS [EC:2.7.13.3]",2.7.13.3,Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases,NA,NA,NA,NA
K11712,"two-component system, LuxR family, response regulator DctR",NA,NA,NA,NA,"Two-component response regulator, FixJ family, consists of REC and HTH domains",COG4566,T,Signal Transduction
K11717,cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16],2.8.1.7,Transferases,Transferring sulfur-containing groups,Sulfurtransferases,Selenocysteine lyase/Cysteine desulfurase,COG0520,E,Amino Acid metabolis and transport
K11719,lipopolysaccharide export system protein LptC,NA,NA,NA,NA,Lipopolysaccharide export system protein LptC,COG3117,M,Cell wall/membrane/envelop biogenesis
K11720,lipopolysaccharide export system permease protein,NA,NA,NA,NA,"Lipopolysaccharide export LptBFGC system, permease protein LptF",COG0795,M,Cell wall/membrane/envelop biogenesis
K11731,citronellyl-CoA dehydrogenase [EC:1.3.99.-],1.3.99.-,Oxidoreductases,Acting on the CH-CH group of donors,With other acceptors,Acyl-CoA dehydrogenase related to the alkylation response protein AidB,COG1960,I,Lipid metabolism
K11732,phenylalanine-specific permease,NA,NA,NA,NA,L-asparagine transporter and related permeases,COG1113,E,Amino Acid metabolis and transport
K11733,lysine-specific permease,NA,NA,NA,NA,Amino acid permease,COG0833,E,Amino Acid metabolis and transport
K11734,aromatic amino acid transport protein AroP,NA,NA,NA,NA,L-asparagine transporter and related permeases,COG1113,E,Amino Acid metabolis and transport
K11735,GABA permease,NA,NA,NA,NA,L-asparagine transporter and related permeases,COG1113,E,Amino Acid metabolis and transport
K11736,proline-specific permease ProY,NA,NA,NA,NA,L-asparagine transporter and related permeases,COG1113,E,Amino Acid metabolis and transport
K11737,D-serine/D-alanine/glycine transporter,NA,NA,NA,NA,L-asparagine transporter and related permeases,COG1113,E,Amino Acid metabolis and transport
K11738,L-asparagine permease,NA,NA,NA,NA,L-asparagine transporter and related permeases,COG1113,E,Amino Acid metabolis and transport
K11739,bacteriophage N4 adsorption protein A,NA,NA,NA,NA,Tetratricopeptide (TPR) repeat,COG0457,R,General Functional Prediction only
K11740,bacteriophage N4 adsorption protein B,NA,NA,NA,NA,NA,NA,NA,NA
K11741,quaternary ammonium compound-resistance protein SugE,NA,NA,NA,NA,Multidrug transporter EmrE and related cation transporters,COG2076,V,Energy production and conversion
K11742,spermidine export protein MdtI,NA,NA,NA,NA,Multidrug transporter EmrE and related cation transporters,COG2076,V,Energy production and conversion
K11743,spermidine export protein MdtJ,NA,NA,NA,NA,Multidrug transporter EmrE and related cation transporters,COG2076,V,Energy production and conversion
K11744,AI-2 transport protein TqsA,NA,NA,NA,NA,Predicted PurR-regulated permease PerM,COG0628,R,General Functional Prediction only
K11745,glutathione-regulated potassium-efflux system ancillary protein KefC,NA,NA,NA,NA,"Kef-type K+ transport system, membrane component KefB",COG0475,P,Inorganic ion transport and metabolism
K11746,glutathione-regulated potassium-efflux system ancillary protein KefF,NA,NA,NA,NA,Putative NADPH-quinone reductase (modulator of drug activity B),COG2249,R,General Functional Prediction only
K11747,glutathione-regulated potassium-efflux system protein KefB,NA,NA,NA,NA,"Kef-type K+ transport system, membrane component KefB",COG0475,P,Inorganic ion transport and metabolism
K11748,glutathione-regulated potassium-efflux system ancillary protein KefG,NA,NA,NA,NA,Putative NADPH-quinone reductase (modulator of drug activity B),COG2249,R,General Functional Prediction only
K11749,regulator of sigma E protease [EC:3.4.24.-],3.4.24.-,Hydrolases,Acting on peptide bonds (peptidases),Metalloendopeptidases,"Membrane-associated protease RseP, regulator of RpoE activity",COG0750,O,"Post-translational modification, protein turnover, chaperone functions"
K11750,esterase FrsA [EC:3.1.-.-],3.1.-.-,Hydrolases,Acting on ester bonds,Acting on ester bonds,"Fermentation-respiration switch protein FrsA, has esterase activity, DUF1100 family",COG1073,T,Signal Transduction
K11751,5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45],3.1.3.5,Hydrolases,Acting on ester bonds,Phosphoric monoester hydrolases,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family",COG0737,F,Nucleotide metabolism and transport
K11752,diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193],3.5.4.26,Hydrolases,"Acting on carbon-nitrogen bonds, other than peptide bonds",In cyclic amidines,Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD,COG0117,H,Coenzyme metabolis
K11753,riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2],2.7.1.26,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,FAD synthase,COG0196,H,Coenzyme metabolis
K11754,dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17],6.3.2.12,Ligases,Forming carbon-nitrogen bonds,Acid--amino-acid ligases (peptide synthases),Folylpolyglutamate synthase/Dihydropteroate synthase,COG0285,H,Coenzyme metabolis
K11755,phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19],3.6.1.31,Hydrolases,Acting on acid anhydrides,In phosphorus-containing anhydrides,Phosphoribosyl-ATP pyrophosphohydrolase,COG0140,E,Amino Acid metabolis and transport
K11777,HAD superfamily phosphatase,NA,NA,NA,NA,"Phosphoglycolate phosphatase, HAD superfamily",COG0546,C,Energy production and conversion
K11787,phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1],6.3.4.13,Ligases,Forming carbon-nitrogen bonds,Other carbon--nitrogen ligases,NA,NA,NA,NA
K11811,arsenical resistance protein ArsH,NA,NA,NA,NA,NAD(P)H-dependent FMN reductase,COG0431,C,Energy production and conversion
K11891,type VI secretion system protein ImpL,NA,NA,NA,NA,Type VI protein secretion system component VasK,COG3523,U,Intracellular trafficing and secretion
K11892,type VI secretion system protein ImpK,NA,NA,NA,NA,Type VI protein secretion system component VasF,COG3455,U,Intracellular trafficing and secretion
K11893,type VI secretion system protein ImpJ,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3522,U,Intracellular trafficing and secretion
K11894,type VI secretion system protein ImpI,NA,NA,NA,NA,"Predicted component of the type VI protein secretion system, contains a FHA domain",COG3456,T,Signal Transduction
K11895,type VI secretion system protein ImpH,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3520,U,Intracellular trafficing and secretion
K11896,type VI secretion system protein ImpG,NA,NA,NA,NA,Type VI protein secretion system component VasA,COG3519,U,Intracellular trafficing and secretion
K11897,type VI secretion system protein ImpF,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3518,U,Intracellular trafficing and secretion
K11900,type VI secretion system protein ImpC,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3517,U,Intracellular trafficing and secretion
K11901,type VI secretion system protein ImpB,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3516,U,Intracellular trafficing and secretion
K11903,type VI secretion system secreted protein Hcp,NA,NA,NA,NA,Type VI protein secretion system component Hcp (secreted cytotoxin),COG3157,U,Intracellular trafficing and secretion
K11904,type VI secretion system secreted protein VgrG,NA,NA,NA,NA,"Uncharacterized conserved protein, implicated in type VI secretion and phage assembly",COG3501,U,Intracellular trafficing and secretion
K11905,type VI secretion system protein,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3518,U,Intracellular trafficing and secretion
K11906,type VI secretion system protein VasD,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3521,U,Intracellular trafficing and secretion
K11907,type VI secretion system protein VasG,NA,NA,NA,NA,ATP-dependent Clp protease ATP-binding subunit ClpA,COG0542,O,"Post-translational modification, protein turnover, chaperone functions"
K11909,type VI secretion system protein VasI,NA,NA,NA,NA,NA,NA,NA,NA
K11910,type VI secretion system protein VasJ,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3515,U,Intracellular trafficing and secretion
K11911,type VI secretion system protein VasL,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3515,U,Intracellular trafficing and secretion
K11912,serine/threonine-protein kinase PpkA [EC:2.7.11.1],2.7.11.1,Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Serine/threonine protein kinase,COG0515,T,Signal Transduction
K11915,serine/threonine protein phosphatase Stp1 [EC:3.1.3.16],3.1.3.16,Hydrolases,Acting on ester bonds,Phosphoric monoester hydrolases,Serine/threonine protein phosphatase PrpC,COG0631,T,Signal Transduction
K11919,type VI secretion system lysozyme-related protein,NA,NA,NA,NA,Predicted component of the type VI protein secretion system,COG3518,U,Intracellular trafficing and secretion
K11920,AraC family transcriptional regulator,NA,NA,NA,NA,AraC-type DNA-binding domain and AraC-containing proteins,COG2207,K,Transcription
K11921,"LysR family transcriptional regulator, cyn operon transcriptional activator",NA,NA,NA,NA,"DNA-binding transcriptional regulator, LysR family",COG0583,K,Transcription
K11922,"GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor",NA,NA,NA,NA,"DNA-binding transcriptional regulator, GntR family",COG2188,K,Transcription
K11923,"MerR family transcriptional regulator, copper efflux regulator",NA,NA,NA,NA,"DNA-binding transcriptional regulator, MerR family",COG0789,K,Transcription
K11924,"DtxR family transcriptional regulator, manganese transport regulator",NA,NA,NA,NA,"Mn-dependent transcriptional regulator, DtxR family",COG1321,K,Transcription
K11925,SgrR family transcriptional regulator,NA,NA,NA,NA,"DNA-binding transcriptional regulator SgrR of sgrS sRNA, contains a MarR-type HTH domain and a periplasmic-type solute-binding domain",COG4533,K,Transcription
K11926,sigma factor-binding protein Crl,NA,NA,NA,NA,NA,NA,NA,NA
K11927,ATP-dependent RNA helicase RhlE [EC:3.6.4.13],3.6.4.13,Hydrolases,Acting on acid anhydrides,Acting on ATP; involved in cellular and subcellular movement,Superfamily II DNA and RNA helicase,COG0513,L,Replication and repair
K11928,sodium/proline symporter,NA,NA,NA,NA,Na+/proline symporter,COG0591,E,Amino Acid metabolis and transport
K11929,outer membrane pore protein E,NA,NA,NA,NA,Outer membrane protein (porin),COG3203,M,Cell wall/membrane/envelop biogenesis
K11930,periplasmic protein TorT,NA,NA,NA,NA,"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain",COG1879,G,Carbohydrate metabolism and transport
K11931,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]",3.5.1.-,Hydrolases,"Acting on carbon-nitrogen bonds, other than peptide bonds",In linear amides,"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family",COG0726,G,Carbohydrate metabolism and transport
K11932,universal stress protein G,NA,NA,NA,NA,"Nucleotide-binding universal stress protein, UspA family",COG0589,T,Signal Transduction
K11933,NADH oxidoreductase Hcr [EC:1.-.-.-],1.-.-.-,Oxidoreductases,Oxidoreductases,Oxidoreductases,Ferredoxin-NADP reductase,COG1018,C,Energy production and conversion
K11934,outer membrane protein X,NA,NA,NA,NA,Opacity protein and related surface antigens,COG3637,M,Cell wall/membrane/envelop biogenesis
K11935,biofilm PGA synthesis protein PgaA,NA,NA,NA,NA,NA,NA,NA,NA
K11936,"poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]",2.4.1.-,Transferases,Glycosyltransferases,Hexosyltransferases,"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase",COG1215,N,Cell motility
K11937,biofilm PGA synthesis protein PgaD,NA,NA,NA,NA,NA,NA,NA,NA
K11938,HMP-PP phosphatase [EC:3.6.1.-],3.6.1.-,Hydrolases,Acting on acid anhydrides,In phosphorus-containing anhydrides,Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases,COG0561,H,Coenzyme metabolis
K11939,inner membrane transporter RhtA,NA,NA,NA,NA,Threonine/homoserine efflux transporter RhtA,COG5006,E,Amino Acid metabolis and transport
K11940,heat shock protein HspQ,NA,NA,NA,NA,Heat shock protein HspQ,COG3785,O,"Post-translational modification, protein turnover, chaperone functions"
K11941,glucans biosynthesis protein C [EC:2.1.-.-],2.1.-.-,Transferases,Transferring one-carbon groups,Transferring one-carbon groups,NA,NA,NA,NA
